WELL_NAME,TIME_STAMP,WHP,WHT_F,WC_FRAC,GOR,PIP,FREQUENCY,power_factor,pump_eff,motor_eff,cable_loss_V,Q_POWER_EQ_UNCALIBRATED,ANALYST_CALIB_FACTOR,Q_ANALYST_CALIBRATED,Q_LIQ_ALLOCATED,Q_OIL_ALLOCATED,Q_WATER_ALLOCATED,Q_GAS_ALLOCATED_MMSCFD
M-80 ST,2019-04-17 05:30:00.070,400,189,0.73,200.0,1302.3,42,0.8,0.35,0.8,230,569.5772847714795,0.8031296822367119,709.1971537961464,704.4000672506393,190.18801815767256,514.2120490929667,0.0380376036315345
M-80 ST,2019-04-17 06:00:00.070,400,189,0.72,200.0,1302.1,42,0.8,0.35,0.8,230,570.512439275129,0.7987230762083247,714.2806515412693,710.0062817086766,198.8017588784295,511.20452283024713,0.0397603517756859
M-80 ST,2019-05-03 07:30:00.000,400,189,0.7,200.0,719.6,60,0.8,0.35,0.8,230,599.5830529850733,0.4481833004786213,1337.8076611617837,1497.4197989863678,449.2259396959105,1048.193859290457,0.0898451879391821
M-80 ST,2019-05-03 08:00:00.005,400,189,0.72,200.0,719.8,60,0.8,0.35,0.8,230,598.2291969216343,0.4334065808694478,1380.2956007763871,1560.2550504984815,436.8714141395749,1123.3836363589066,0.0873742828279149
M-80 ST,2019-05-03 08:30:00.010,400,189,0.7,200.0,720.5,60,0.8,0.35,0.8,230,599.4892015426902,0.4124232821386892,1453.5774955136862,1668.5534902990958,500.5660470897287,1167.987443209367,0.1001132094179457
M-80 ST,2019-05-03 09:00:00.015,400,189,0.75,200.0,720.7,60,0.8,0.35,0.8,230,598.4858325392472,0.3910621547884919,1530.4110234418913,1788.0114419402453,447.0028604850613,1341.008581455184,0.0894005720970122
M-80 ST,2019-05-03 09:30:00.020,400,189,0.73,200.0,720.5,60,0.8,0.35,0.8,230,599.5770090241056,0.4399663945846117,1362.7791040499535,1533.59661572407,414.0710862454989,1119.5255294785711,0.0828142172490997
M-80 ST,2019-05-03 10:00:00.025,400,189,0.76,200.0,721.0,60,0.8,0.35,0.8,230,596.7958738250474,0.4368100287034416,1366.259551312232,1540.7882471867974,369.78917932483137,1170.999067861966,0.0739578358649662
M-80 ST,2019-05-03 10:30:00.030,400,189,0.72,200.0,721.5,60,0.8,0.35,0.8,230,600.7805522783818,0.4344395070465859,1382.8865527507348,1562.0698528109258,437.3795587870593,1124.6902940238665,0.0874759117574118
M-80 ST,2019-05-03 11:00:00.035,400,189,0.75,200.0,722.0,60,0.8,0.35,0.8,230,596.1070671506006,0.4395253008921114,1356.251997190316,1526.7020456894277,381.675511422357,1145.0265342670707,0.0763351022844713
M-80 ST,2019-05-03 11:30:00.040,400,189,0.71,200.0,724.1,60,0.8,0.35,0.8,230,594.0624498696083,0.4367767195051542,1360.105571887281,1533.882876832794,444.8260342815104,1089.0568425512836,0.088965206856302
M-80 ST,2019-05-03 12:00:00.045,400,189,0.76,200.0,724.0,60,0.8,0.35,0.8,230,598.4081924796924,0.4352331723322687,1374.9140242987992,1552.21795731655,372.532309755972,1179.685647560578,0.0745064619511943
M-80 ST,2019-05-03 12:30:00.050,400,189,0.74,200.0,723.3,60,0.8,0.35,0.8,230,591.8621602978887,0.4297163513489114,1377.3321830551472,1560.925765372479,405.8406989968446,1155.0850663756344,0.0811681397993689
M-80 ST,2019-05-03 13:00:00.055,400,189,0.75,200.0,722.2,60,0.8,0.35,0.8,230,599.2233273634472,0.4363346015294463,1373.3115028307195,1549.2422146138215,387.3105536534554,1161.931660960366,0.077462110730691
M-80 ST,2019-05-03 13:30:00.060,400,189,0.72,200.0,720.2,60,0.8,0.35,0.8,230,598.9199469548316,0.4381788374281956,1366.8390524519036,1540.013437370534,431.2037624637496,1108.8096749067845,0.0862407524927499
M-80 ST,2019-05-03 14:00:00.065,400,189,0.76,200.0,718.9,60,0.8,0.35,0.8,230,603.1404764892386,0.435024357507909,1386.4521976295848,1565.4682049303783,375.7123691832908,1189.7558357470878,0.0751424738366581
M-80 ST,2019-05-03 14:30:00.070,400,189,0.75,200.0,717.5,60,0.8,0.35,0.8,230,603.2063358320935,0.4434428569772605,1360.2797436942942,1527.2620696384893,381.8155174096223,1145.446552228867,0.0763631034819244
M-80 ST,2019-05-03 15:00:00.075,400,189,0.75,200.0,717.7,60,0.8,0.35,0.8,230,596.0776072290971,0.4296646290761542,1387.3090007682426,1572.2898618660174,393.0724654665044,1179.217396399513,0.0786144930933008
M-80 ST,2019-05-03 15:30:00.080,400,189,0.73,200.0,721.7,60,0.8,0.35,0.8,230,588.9330994236055,0.4295485281672967,1371.0513732553943,1553.9918854355938,419.5778090676104,1134.4140763679834,0.083915561813522
M-80 ST,2019-05-03 16:00:00.085,400,189,0.75,200.0,726.4,60,0.8,0.35,0.8,230,589.4142397291688,0.422781647025319,1394.1339314898655,1587.8663679518986,396.96659198797465,1190.899775963924,0.0793933183975949
M-80 ST,2019-05-03 16:30:00.080,400,189,0.75,200.0,727.6,60,0.8,0.35,0.8,230,592.8843049886827,0.426767130821975,1389.2454740990893,1577.733868943668,394.4334672359169,1183.300401707751,0.0788866934471833
M-80 ST,2019-05-03 17:00:00.080,400,189,0.71,200.0,726.8,60,0.8,0.35,0.8,230,594.4886823824135,0.4276513805706921,1390.1245486196733,1577.7338689436722,457.542821993665,1120.1910469500071,0.091508564398733
M-80 ST,2019-05-03 17:30:00.080,400,189,0.76,200.0,726.0,60,0.8,0.35,0.8,230,593.1901592876563,0.4278590146052463,1386.415008305829,1573.2906732377503,377.58976157706,1195.7009116606905,0.075517952315412
M-80 ST,2019-05-03 18:00:00.080,400,189,0.74,200.0,725.4,60,0.8,0.35,0.8,230,593.5305813407828,0.4245292353976367,1398.0911839554474,1590.3453146820664,413.4897818173372,1176.8555328647292,0.0826979563634674
